Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
Afu1g00350,Cell membrane,Signal peptide|Transmembrane domain,0.13689999282360077,0.04280000180006027,0.10090000182390213,0.6327999830245972,0.04569999873638153,0.06509999930858612,0.4973999857902527,0.4325000047683716,0.37310001254081726,0.04500000178813934
Afu1g14340,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.1257999986410141,0.02879999950528145,0.03739999979734421,0.6646999716758728,0.07410000264644623,0.07769999653100967,0.4918999969959259,0.6588000059127808,0.39629998803138733,0.029999999329447746
Afu1g16040,Cell membrane,Signal peptide|Transmembrane domain,0.16660000383853912,0.03750000149011612,0.08320000022649765,0.6438000202178955,0.04560000076889992,0.09279999881982803,0.4788999855518341,0.4799000024795532,0.41670000553131104,0.03269999846816063
Afu1g17270,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.10930000245571136,0.025100000202655792,0.032499998807907104,0.6333000063896179,0.05290000140666962,0.02250000089406967,0.427700012922287,0.7508000135421753,0.43700000643730164,0.02250000089406967
Afu2g01270,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.12129999697208405,0.024800000712275505,0.035999998450279236,0.6771000027656555,0.06390000134706497,0.07329999655485153,0.560699999332428,0.7160000205039978,0.45179998874664307,0.0414000004529953
Afu3g02980,Endoplasmic reticulum|Lysosome/Vacuole,Transmembrane domain,0.13660000264644623,0.043699998408555984,0.01899999938905239,0.48069998621940613,0.05649999901652336,0.030799999833106995,0.6104000210762024,0.6543999910354614,0.39089998602867126,0.05779999867081642
Afu3g10820,Cell membrane,Signal peptide|Transmembrane domain,0.11580000072717667,0.02889999933540821,0.08219999819993973,0.6541000008583069,0.06620000302791595,0.07169999927282333,0.4659000039100647,0.5503000020980835,0.3449000120162964,0.019899999722838402
Afu4g03940,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.13269999623298645,0.02319999970495701,0.025200000032782555,0.7116000056266785,0.03920000046491623,0.051899999380111694,0.4778999984264374,0.6947000026702881,0.4088999927043915,0.013100000098347664
Afu5g14940,Cell membrane,Signal peptide|Transmembrane domain,0.15839999914169312,0.03610000014305115,0.10100000351667404,0.6460000276565552,0.06560000032186508,0.09719999879598618,0.4603999853134155,0.4787999987602234,0.4309000074863434,0.03200000151991844
Afu6g02170,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.12409999966621399,0.03579999879002571,0.03420000150799751,0.7081000208854675,0.03869999945163727,0.06769999861717224,0.4052000045776367,0.7035999894142151,0.4586000144481659,0.02630000002682209
Afu6g02820,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.10869999974966049,0.03660000115633011,0.03220000118017197,0.6554999947547913,0.044599998742341995,0.06729999929666519,0.4318000078201294,0.6800000071525574,0.31630000472068787,0.03229999914765358
Afu6g13750,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.11959999799728394,0.024000000208616257,0.024700000882148743,0.657800018787384,0.04490000009536743,0.030500000342726707,0.5023999810218811,0.7289000153541565,0.5091999769210815,0.030300000682473183
Afu7g04970,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.0989999994635582,0.032999999821186066,0.024000000208616257,0.6761000156402588,0.06700000166893005,0.05590000003576279,0.47350001335144043,0.6495000123977661,0.4287000000476837,0.050999999046325684
Afu8g01310,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.11089999973773956,0.019099999219179153,0.043800000101327896,0.7017999887466431,0.05660000070929527,0.03440000116825104,0.4147000014781952,0.718500018119812,0.41690000891685486,0.05640000104904175
Afu8g06210,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.1615000069141388,0.0364999994635582,0.08179999887943268,0.6640999913215637,0.050999999046325684,0.07970000058412552,0.5038999915122986,0.5917999744415283,0.45750001072883606,0.05169999971985817
